match_id,team,shot_statsbomb_xg,xFlag
3895052,Bayer Leverkusen,1.523364167,xG Created
3895052,RB Leipzig,1.722110068,xG Conceded
3895060,Bayer Leverkusen,2.719870674,xG Created
3895060,Borussia Mönchengladbach,0.7992645627000001,xG Conceded
3895067,Bayer Leverkusen,3.304641177,xG Created
3895067,Darmstadt 98,0.579202448,xG Conceded
3895074,Bayer Leverkusen,2.218056773,xG Created
3895074,Bayern Munich,2.209524405,xG Conceded
3895086,Bayer Leverkusen,3.708372054,xG Created
3895086,FC Heidenheim,0.32678839,xG Conceded
3895095,Bayer Leverkusen,0.793664845,xG Created
3895095,FSV Mainz 05,0.435265024,xG Conceded
3895107,Bayer Leverkusen,2.9421685534,xG Created
3895107,FC Köln,1.190464235,xG Conceded
3895113,Wolfsburg,1.1983493379999999,xG Conceded
3895113,Bayer Leverkusen,1.962671917,xG Created
3895121,Bayer Leverkusen,1.4253422826,xG Created
3895121,Freiburg,0.768274225,xG Conceded
3895134,Bayer Leverkusen,1.274476137,xG Created
3895134,Hoffenheim,1.483510532,xG Conceded
3895139,Bayer Leverkusen,1.883218353,xG Created
3895139,Union Berlin,0.038901003,xG Conceded
3895153,Werder Bremen,0.185946346,xG Conceded
3895153,Bayer Leverkusen,1.091059273,xG Created
3895158,Bayer Leverkusen,2.144726791,xG Created
3895158,Borussia Dortmund,0.8077303976,xG Conceded
3895167,Bayer Leverkusen,1.532379643,xG Created
3895167,VfB Stuttgart,2.4035395945999998,xG Conceded
3895180,Bayer Leverkusen,2.753240414,xG Created
3895180,Eintracht Frankfurt,0.184912791,xG Conceded
3895182,Bayer Leverkusen,3.4008051630000002,xG Created
3895182,Bochum,0.28767202399999997,xG Conceded
3895194,Bayer Leverkusen,1.575537092,xG Created
3895194,Augsburg,0.315864105,xG Conceded
3895202,Bayer Leverkusen,1.8806014,xG Created
3895202,RB Leipzig,1.086765495,xG Conceded
3895210,Bayer Leverkusen,2.561261506,xG Created
3895210,Borussia Mönchengladbach,0.183674806,xG Conceded
3895220,Bayer Leverkusen,1.951917007,xG Created
3895220,Darmstadt 98,0.7708953119999999,xG Conceded
3895232,Bayern Munich,0.618117409,xG Conceded
3895232,Bayer Leverkusen,1.033846879,xG Created
3895244,Bayer Leverkusen,1.8190613249999998,xG Created
3895244,FC Heidenheim,0.457262184,xG Conceded
3895250,Bayer Leverkusen,1.1127182105,xG Created
3895250,FSV Mainz 05,1.141172176,xG Conceded
3895258,Bayer Leverkusen,1.2933706569999999,xG Created
3895258,FC Köln,0.68641333,xG Conceded
3895266,Bayer Leverkusen,1.7859470585,xG Created
3895266,Wolfsburg,0.226787301,xG Conceded
3895275,Freiburg,0.930620068,xG Conceded
3895275,Bayer Leverkusen,2.596176258,xG Created
3895286,Bayer Leverkusen,2.769983018,xG Created
3895286,Hoffenheim,0.649217861,xG Conceded
3895292,Bayer Leverkusen,2.5635430059999997,xG Created
3895292,Union Berlin,0.5450826365,xG Conceded
3895302,Bayer Leverkusen,3.004243277,xG Created
3895302,Werder Bremen,0.683732782,xG Conceded
3895309,Bayer Leverkusen,1.3641123442,xG Created
3895309,Borussia Dortmund,0.554835216,xG Conceded
3895320,Bayer Leverkusen,1.652524151,xG Created
3895320,VfB Stuttgart,1.799442311,xG Conceded
3895333,Bayer Leverkusen,2.585808739,xG Created
3895333,Eintracht Frankfurt,1.441534367,xG Conceded
3895340,Bayer Leverkusen,4.301661423,xG Created
3895340,Bochum,0.314100486,xG Conceded
3895348,Augsburg,0.780331769,xG Conceded
3895348,Bayer Leverkusen,2.164920404,xG Created
